;;;;
Descripción;Entidad(es);Criterio de aceptación;Tipo BBDD;Modificaciones
El cliente puede dejar un comentario opcional junto con su calificación.;CALIFICACION;"Comentario no requerido; máximo 500 caracteres.";;Se elimina el comentario
El sistema registra automáticamente la fecha de la calificación.;CALIFICACION;"Campo fecha poblado al momento de INSERT; no editable.";;Se usa la fecha y hora del pedido
El cliente puede calificar un pedido entregado asignando un puntaje y tipo (comida o entrega).;CALIFICACION / PEDIDO;"Solo disponible cuando estado del pedido es 'entregado'; una calificación por tipo por pedido.";;Una calificacion del 1 al 5 y se la puede dar al pedido y/o al repartidor
El establecimiento puede consultar el promedio de puntajes de sus pedidos calificados.;CALIFICACION / PEDIDO / ESTABLECIMIENTO;Promedio calculado sobre calificaciones de tipo 'comida' de pedidos del establecimiento.;Postgres;Sin cambios
El sistema calcula automáticamente el total del pedido sumando precio_unitario × cantidad de cada DETALLE_PEDIDO.;DETALLE_PEDIDO / PEDIDO;"total en PEDIDO = suma de (precio_unitario × cantidad) de todos los detalles; recalculado ante cambios."; - ;Sin cambios
El sistema permite registrar un establecimiento con nombre, tipo, dirección, email y teléfono.;ESTABLECIMIENTO;Establecimiento creado y disponible para asociar productos.;MongoDB;Tipo: restaurante, super, farmacia, kiosko, bebidas. se agrega contraseña a establecimiento
El sistema registra la fecha y hora de creación del pedido automáticamente.;PEDIDO;"fecha_hora poblada al momento de INSERT; no editable por el usuario.";;Sin cambios
El estado del pedido avanza según el flujo: pendiente ? confirmado ? en preparación ? en camino ? entregado.;PEDIDO;"Transiciones de estado válidas; no se puede retroceder de estado; cambio de estado registrado.";;Se agrega estado Cancelado
El cliente puede crear un pedido seleccionando un establecimiento, uno o más productos y una dirección de entrega.;PEDIDO / DETALLE_PEDIDO;"Pedido creado con estado 'pendiente'; al menos 1 ítem requerido; dirección válida requerida."; - ;Sin cambios
El cliente puede consultar el historial de sus pedidos con estado y total.;PEDIDO / DETALLE_PEDIDO;"Listado filtrado por id_cliente; incluye detalles de cada pedido; orden cronológico descendente.";Cassandra;Solo se muestran los estado Entregado - Cancelado - En Proceso
El repartidor puede ver el detalle del pedido asignado: dirección, productos y datos del cliente.;PEDIDO / DETALLE_PEDIDO / CLIENTE;Información accesible solo para el repartidor asignado a ese pedido.;;Sin cambios. Ademas, ve el numero
El establecimiento puede ver los pedidos que le corresponden y actualizar su estado (confirmar o rechazar).;PEDIDO / ESTABLECIMIENTO;"Solo pedidos con id_establecimiento coincidente; rechazo solo posible en estado 'pendiente'.";;Sin cambios
El cliente puede aplicar una promoción vigente al momento de confirmar el pedido.;PEDIDO / PROMOCION;"id_promocion guardado en PEDIDO; descuento aplicado solo si total >= monto_mínimo y la promoción está vigente."; - ;Se elimina. No tenemos cupones
El sistema puede asignar un repartidor disponible a un pedido confirmado.;PEDIDO / REPARTIDOR;"id_repartidor guardado en PEDIDO; el repartidor debe tener disponible=true; solo un pedido activo por repartidor.";;Sin cambios
El repartidor puede marcar un pedido como 'en camino' y luego como 'entregado'.;PEDIDO / REPARTIDOR;"Solo el repartidor asignado puede cambiar estos estados; 'entregado' es estado terminal.";Redis;Sin cambios
El sistema puede consultar todos los pedidos asignados a un repartidor.;PEDIDO / REPARTIDOR;"Filtrado por id_repartidor; incluye historial de entregas completadas.";Cassandra;?? Quien es el sistema
